id,pop
FT543_Zluteus,NE
DMNS8635_Zluteus,NE
DMNS8633_Zluteus,NE
DMNS8636_Zluteus,NE
FT605_Zluteus,NE
MSB325193_Zluteus,NE
FT604_Zluteus,NE
FT1737FT1735_Zluteus,NE
MSB325322_Zluteus,NW
MSB154917_Zluteus,NW
MSB155117_Zluteus,NW
MSB325321_Zluteus,NW
FT353_Zluteus,NW
FT357_Zluteus,NW
MSB324205_Zluteus,NW
MSB56984_Zluteus,NW
MSB213790_Zluteus,rio
MSB213792_Zluteus,rio
MSB58368_Zluteus,rio
MSB213791_Zluteus,rio
MSB41226_Zluteus,rio
MSB41228_Zluteus,rio
MSB41235_Zluteus,rio
MSB41230_Zluteus,rio
MSB41064_Zluteus,sacramento
MSB41060_Zluteus,sacramento
MSB41062_Zluteus,sacramento
FT358_Zluteus,sacramento
FT1101_Zluteus,wht
MSB40952_Zluteus,wht
FT1105_Zluteus,wht
MSB324198_Zluteus,wht
MSB155004XXX_Zluteus,NW
MSB155004_Zluteus,NW
MSB91675_Zluteus,wht
MSB91675XXX1_Zluteus,wht
MSB91675XXX2_Zluteus,wht
MSB89194XXX_Zluteus,wht
MSB89194_Zluteus,wht
MSB213793_Zluteus,rio
