id,pop
FT543_Zluteus,jhm
DMNS8635_Zluteus,jhm
DMNS8633_Zluteus,jhm
DMNS8636_Zluteus,jhm
FT605_Zluteus,sdc
MSB325193_Zluteus,sdc
FT604_Zluteus,sdc
FT1737FT1735_Zluteus,sdc
MSB325322_Zluteus,sjn
MSB154917_Zluteus,sjn
MSB155117_Zluteus,sjn
MSB325321_Zluteus,sjn
FT353_Zluteus,jmz
FT357_Zluteus,jmz
MSB324205_Zluteus,jmz
MSB56984_Zluteus,jmz
MSB213790_Zluteus,isa
MSB213792_Zluteus,isa
MSB213791_Zluteus,isa
MSB41226_Zluteus,bda
MSB41064_Zluteus,sac
MSB41060_Zluteus,sac
MSB41062_Zluteus,sac
FT358_Zluteus,sac
FT1101_Zluteus,wht
MSB40952_Zluteus,wht
FT1105_Zluteus,wht
MSB324198_Zluteus,wht
MSB91675_Zluteus,wht
MSB91675XXX2_Zluteus,wht
