id,pop
DMNS21610_Zluteus,NE
DMNS8630_Zluteus,NE
DMNS8631_Zluteus,NE
DMNS8632_Zluteus,NE
DMNS8633_Zluteus,NE
DMNS8634_Zluteus,NE
DMNS8635_Zluteus,NE
DMNS8636_Zluteus,NE
DMNS8637_Zluteus,NE
DMNS8638_Zluteus,NE
DMNS8639_Zluteus,NE
DMNS8640_Zluteus,NE
DMNS8641_Zluteus,NE
DMNS8642_Zluteus,NE
FT1737FT1735_Zluteus,NE
FT502_Zluteus,NE
FT506_Zluteus,NE
FT507_Zluteus,NE
FT520_Zluteus,NE
FT521_Zluteus,NE
FT528_Zluteus,NE
FT529_Zluteus,NE
FT541_Zluteus,NE
FT542_Zluteus,NE
FT543_Zluteus,NE
FT604_Zluteus,NE
FT605_Zluteus,NE
MSB325170_Zluteus_merged,NE
MSB325193_Zluteus,NE
FT340_Zluteus,NW
FT348_Zluteus,NW
FT353_Zluteus,NW
FT354_Zluteus,NW
FT355_Zluteus,NW
FT356_Zluteus,NW
FT357_Zluteus,NW
FT360_Zluteus,NW
FT613_Zluteus,NW
MSB154917_Zluteus,NW
MSB155004_Zluteus_merged,NW
MSB155117_Zluteus,NW
MSB212593_Zluteus,NW
MSB324195_Zluteus,NW
MSB324197_Zluteus,NW
MSB324205_Zluteus,NW
MSB325321_Zluteus,NW
MSB325322_Zluteus,NW
MSB41055_Zluteus,NW
MSB56979_Zluteus,NW
MSB56980_Zluteus,NW
MSB56981_Zluteus_merged,NW
MSB56982_Zluteus,NW
MSB56983_Zluteus,NW
MSB56984_Zluteus,NW
MSB56985_Zluteus,NW
MSB56986_Zluteus,NW
MSB56987_Zluteus,NW
MSB56988_Zluteus,NW
MSB56989_Zluteus,NW
MSB56990_Zluteus,NW
MSB56991_Zluteus,NW
MSB56992_Zluteus,NW
MSB56993_Zluteus,NW
MSB56994_Zluteus,NW
FT1740_Zluteus,rio
MSB212967_Zluteus,rio
MSB212968_Zluteus,rio
MSB213790_Zluteus,rio
MSB213791_Zluteus,rio
MSB213792_Zluteus,rio
MSB213793_Zluteus,rio
MSB41223_Zluteus,rio
MSB41224_Zluteus,rio
MSB41225_Zluteus,rio
MSB41226_Zluteus,rio
MSB41227_Zluteus,rio
MSB41228_Zluteus,rio
MSB41229_Zluteus,rio
MSB41230_Zluteus,rio
MSB41231_Zluteus,rio
MSB41232_Zluteus,rio
MSB41233_Zluteus,rio
MSB41234_Zluteus,rio
MSB41235_Zluteus,rio
MSB58368_Zluteus,rio
FT358_Zluteus,sacramento
FT359_Zluteus,sacramento
MSB41058_Zluteus,sacramento
MSB41059_Zluteus_merged,sacramento
MSB41060_Zluteus,sacramento
MSB41061_Zluteus,sacramento
MSB41062_Zluteus,sacramento
MSB41063_Zluteus,sacramento
MSB41064_Zluteus,sacramento
MSB41065_Zluteus_merged,sacramento
MSB41066_Zluteus,sacramento
FT1085_Zluteus,white
FT1087_Zluteus,white
FT1101_Zluteus,white
FT1105_Zluteus,white
FT1107_Zluteus,white
FT1110_Zluteus,white
FT1114_Zluteus,white
FT1121_Zluteus,white
FT1122_Zluteus,white
FT1123_Zluteus,white
FT1124_Zluteus,white
FT1137_Zluteus,white
FT1181_Zluteus,white
FT1183_Zluteus,white
FT1189_Zluteus,white
FT1215_Zluteus,white
FT1226_Zluteus,white
FT1235_Zluteus,white
FT1239_Zluteus,white
MSB324198_Zluteus,white
MSB324199_Zluteus_merged,white
MSB324200_Zluteus,white
MSB324201_Zluteus,white
MSB324204_Zluteus,white
MSB325251_Zluteus,white
MSB325252_Zluteus,white
MSB329201_Zluteus,white
MSB329202_Zluteus,white
MSB40949_Zluteus,white
MSB40950_Zluteus,white
MSB40951_Zluteus,white
MSB40952_Zluteus,white
MSB40953_Zluteus,white
MSB40954_Zluteus,white
MSB40956_Zluteus,white
MSB40994_Zluteus,white
MSB40995_Zluteus,white
MSB40996_Zluteus,white
MSB40997_Zluteus,white
MSB40998_Zluteus,white
MSB86344_Zluteus,white
MSB89194_Zluteus,white
MSB91627_Zluteus,white
MSB91675_Zluteus,white
